Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38
1,36,83,2,0,76,47,31,47,72,88,76,30,98,28,71,7,99,52,61,5,45,2,84,25,71,12,21,44,7,96,20,29,67,94,68,87,45
36,4,27,21,41,73,34,60,59,38,50,82,34,74,77,63,42,13,34,18,29,71,55,94,27,36,71,56,64,15,4,77,81,64,77,28,86,27
41,23,7,82,44,39,99,94,83,90,83,85,65,27,12,46,29,9,81,23,92,8,56,62,6,68,28,85,25,85,85,74,13,14,40,61,47,97
78,84,17,69,79,39,38,70,14,11,39,95,13,9,87,27,42,1,62,46,45,10,29,25,12,88,99,82,34,79,41,22,5,88,70,20,28,72
1,87,68,42,48,43,88,83,88,44,80,75,80,31,81,66,75,0,78,51,78,20,62,28,68,29,52,4,29,44,34,79,31,96,4,28,23,18
7,89,0,98,22,14,82,84,10,38,7,59,62,85,89,30,71,49,36,11,54,15,63,94,21,5,83,62,0,82,1,46,92,57,98,19,16,52
81,25,50,62,70,91,53,78,65,47,23,9,19,28,67,35,60,9,29,2,36,62,59,75,35,20,23,55,93,13,49,21,64,78,74,84,43,51
53,97,69,95,63,88,62,87,43,3,38,25,44,47,68,60,83,29,16,77,29,64,70,61,89,11,58,75,57,19,39,96,32,98,24,47,80,27
99,30,41,13,92,65,20,35,56,39,44,37,64,47,77,15,71,58,80,52,14,19,33,30,82,50,45,60,47,22,52,93,8,98,81,41,62,27
59,99,7,12,17,96,63,62,46,62,59,52,76,39,35,30,98,77,83,77,32,36,19,79,75,44,86,56,73,37,37,50,13,75,12,6,19,26
55,97,94,95,95,62,0,74,96,47,36,58,90,94,53,83,97,99,9,98,91,77,38,10,80,61,68,87,10,86,46,25,19,61,7,43,66,75
56,11,84,11,74,33,75,76,32,34,41,26,97,67,20,43,67,10,62,33,97,13,94,13,95,33,53,33,13,85,20,68,29,80,93,16,62,92
18,1,74,8,79,23,87,11,31,46,15,52,68,90,27,77,26,9,1,75,85,68,78,54,52,10,63,59,38,50,67,27,70,23,14,39,14,83
86,48,41,81,77,11,88,90,86,45,89,72,11,87,64,21,37,25,80,42,35,93,68,70,3,34,74,83,62,79,72,79,74,36,55,7,57,65
86,4,22,92,47,82,70,48,63,86,86,5,10,49,1,38,76,73,0,5,56,79,62,88,1,46,66,50,41,86,84,12,51,26,31,88,33,87
20,53,76,45,6,44,21,7,91,69,53,99,85,89,7,20,92,49,38,34,40,28,67,38,23,33,3,30,30,37,4,40,4,47,78,55,43,94
18,98,10,57,57,49,44,36,56,25,22,9,36,20,49,90,74,81,40,64,94,61,92,89,93,64,37,36,67,70,31,38,10,4,91,34,16,72
39,22,11,61,27,70,57,11,55,17,1,34,45,23,20,63,69,68,66,90,43,40,23,97,10,91,16,87,93,3,99,2,39,67,48,54,26,2
76,16,25,33,96,17,66,92,78,76,68,16,16,39,58,64,26,73,10,12,31,75,24,8,91,84,80,31,37,69,22,21,52,56,66,9,29,58
20,77,4,92,4,38,57,51,72,49,64,11,73,65,3,17,72,74,36,60,90,54,13,39,59,93,33,84,58,35,85,46,67,90,50,15,46,10
22,69,26,82,76,25,52,1,60,26,49,11,77,93,96,10,56,68,28,54,84,46,8,81,15,88,51,3,30,35,99,59,36,21,4,33,15,37
69,12,13,17,90,9,96,63,41,54,54,90,64,10,82,12,69,42,65,77,24,44,48,25,84,39,17,86,19,94,78,5,56,0,22,49,24,14
65,91,0,29,92,75,81,42,94,11,21,18,91,25,23,10,55,59,40,59,23,8,41,75,42,42,44,35,98,44,9,18,65,37,83,43,1,82
43,39,22,3,56,16,88,42,1,49,84,65,59,74,12,3,59,4,63,87,58,37,49,33,84,1,63,1,40,40,13,23,21,42,62,9,96,45
46,51,38,19,35,3,27,70,68,72,73,15,69,43,95,2,94,71,55,40,72,65,69,81,16,41,81,0,0,3,3,51,19,49,10,59,45,81
90,25,72,77,5,52,43,43,88,89,28,22,25,85,56,90,86,67,94,86,43,88,1,3,94,11,89,25,83,44,39,85,47,31,74,27,87,8
61,2,92,53,50,17,19,54,64,34,27,90,43,49,69,59,32,46,83,21,3,35,54,94,61,24,46,15,24,78,8,12,34,74,6,14,70,68
74,13,94,24,67,43,87,15,75,15,25,37,36,28,84,23,34,84,61,62,15,31,7,69,9,21,89,19,57,31,44,53,99,14,70,30,52,48
96,54,39,37,23,67,71,83,97,48,64,59,15,87,41,62,14,87,96,96,90,52,48,27,96,91,87,85,72,62,28,26,0,34,76,18,90,15
55,5,70,49,32,49,7,54,82,53,63,61,60,1,13,2,53,57,71,60,9,3,14,33,62,46,32,6,71,2,25,31,80,67,20,56,46,4
81,11,47,64,99,98,33,82,30,43,67,79,29,44,49,56,40,6,72,16,55,1,11,40,84,82,8,15,91,28,86,26,94,79,70,60,39,4
48,21,52,87,15,80,11,21,14,90,94,8,7,41,55,17,49,7,38,72,83,15,67,2,2,6,44,99,23,55,50,52,27,83,46,2,91,52
68,61,81,14,54,74,1,27,75,98,99,50,30,21,24,60,14,30,52,41,87,41,36,76,97,89,53,62,17,32,76,62,98,8,85,43,98,21
5,13,97,98,42,64,26,97,83,92,91,92,54,45,79,34,20,92,48,46,20,44,64,74,84,43,48,55,95,6,22,76,43,28,14,15,96,27
52,99,13,20,11,67,6,61,66,50,96,10,60,0,87,27,70,5,8,59,3,44,5,63,32,47,52,30,10,61,64,52,95,49,93,12,36,38
2,58,10,54,22,15,19,20,81,79,77,81,36,54,31,52,51,87,63,40,21,15,26,14,63,75,93,39,18,86,52,84,70,29,32,7,74,56
88,53,38,7,57,38,83,12,13,43,62,27,12,89,39,79,62,6,72,33,8,85,12,79,48,5,3,79,58,1,23,32,66,21,8,13,41,41
86,2,66,94,13,95,47,82,48,49,53,58,31,50,11,86,4,18,33,84,56,79,47,43,12,2,32,4,24,8,91,88,56,68,11,63,66,43
4,40,22,61,77,37,8,39,1,22,20,9,94,63,65,8,43,84,79,33,34,70,8,20,55,52,26,21,29,71,32,4,93,51,71,36,4,99
95,76,12,66,39,17,66,43,2,95,11,75,82,52,90,9,50,23,33,30,47,2,88,93,8,91,10,24,79,34,34,98,74,38,72,85,22,74
88,60,88,20,66,3,0,72,55,16,76,67,14,31,74,21,23,26,96,43,88,63,72,72,49,55,10,58,8,74,39,23,61,83,50,72,2,95
11,0,86,83,40,8,56,42,59,76,16,49,19,96,96,21,54,85,80,65,33,20,18,72,25,51,91,29,26,40,1,34,26,67,88,55,19,0
2,81,89,31,51,13,19,73,97,84,3,55,11,82,93,80,87,38,56,80,12,93,45,97,16,62,55,16,84,77,50,58,75,35,60,18,58,59
32,68,65,21,28,11,64,76,2,45,35,81,72,11,21,43,92,23,2,45,41,74,32,85,75,75,99,96,63,84,34,68,97,53,53,11,50,3
85,84,16,21,95,82,71,99,29,41,25,12,32,65,3,32,97,20,12,27,41,80,10,40,1,82,54,32,13,85,35,92,69,32,83,46,89,28
1,14,1,24,8,3,48,57,30,79,84,59,68,29,41,73,82,48,48,50,23,66,58,8,41,37,82,7,12,28,40,79,97,12,54,96,17,17
88,21,27,35,53,17,42,94,67,70,47,81,98,77,44,16,36,49,21,62,7,53,98,58,94,96,79,28,37,99,25,91,65,55,98,11,84,92
14,75,60,45,30,70,19,73,17,31,44,75,43,92,36,58,65,82,77,97,93,37,63,14,5,91,60,8,79,92,69,54,24,81,79,24,56,62
39,12,53,42,48,45,27,5,19,61,86,9,61,56,11,25,36,90,8,42,37,31,42,62,76,42,6,63,11,38,81,4,19,63,36,30,14,90
64,11,15,75,38,45,86,86,45,20,63,14,21,70,33,9,71,99,57,31,30,14,80,30,74,12,33,64,2,95,85,60,74,91,16,45,3,45
21,90,50,20,49,27,60,66,3,13,12,38,12,30,49,78,36,96,61,40,82,88,27,3,52,38,53,17,70,33,19,28,31,55,12,21,13,77
59,7,2,16,55,89,16,95,78,90,73,76,47,45,69,17,68,70,42,85,88,3,29,44,49,20,10,21,99,80,62,51,97,45,70,0,1,87
48,49,12,0,81,10,75,41,62,15,62,98,1,64,24,7,83,49,62,39,89,8,21,78,15,18,1,59,42,75,45,56,56,26,69,29,93,30
37,89,88,53,7,42,52,83,74,98,41,68,52,25,22,11,96,17,6,43,1,7,21,48,84,13,92,43,61,7,70,38,61,23,89,14,63,32
32,61,39,62,49,71,8,50,19,5,27,90,73,35,53,93,56,8,7,49,11,56,7,71,47,46,67,67,45,92,76,50,89,15,72,13,79,87
20,18,40,2,80,78,81,63,25,28,73,97,95,80,18,25,39,18,17,87,35,53,51,65,99,47,71,44,58,36,47,71,74,50,82,67,35,21
59,62,88,32,55,67,16,71,79,50,14,20,75,11,55,81,29,10,78,83,39,86,76,1,6,33,37,74,53,57,24,19,96,15,25,30,2,25
96,22,41,14,84,99,62,56,52,89,95,23,32,38,51,20,64,45,36,68,48,2,25,45,98,60,13,60,18,22,28,50,30,58,65,38,44,91
14,59,26,79,35,13,0,65,55,93,6,34,28,1,33,37,12,16,73,38,55,33,2,29,40,20,70,42,25,62,63,19,47,76,21,4,18,61
1,49,68,18,24,7,15,91,87,38,50,70,95,45,35,40,95,59,14,11,69,49,44,77,50,71,56,26,6,91,14,28,48,59,55,75,5,88
44,2,23,71,40,44,74,12,17,41,28,66,98,56,94,40,27,5,27,71,50,72,22,87,84,11,27,45,47,87,88,47,74,12,67,90,58,23
18,60,74,35,6,86,11,71,10,31,81,86,13,57,71,84,88,76,76,4,22,33,13,38,84,17,33,71,75,24,81,22,37,17,72,7,91,99
52,61,99,69,62,76,36,35,23,72,55,21,98,73,61,45,93,18,79,31,47,8,13,50,50,6,41,63,51,21,87,85,89,5,57,71,39,97
56,43,34,92,28,46,32,15,39,93,40,28,9,91,79,88,91,11,89,48,41,96,27,70,18,40,17,74,69,76,81,68,56,18,26,44,24,32
41,20,27,2,10,91,60,66,30,70,64,44,77,14,62,44,15,89,78,76,51,90,44,96,98,43,12,34,62,76,7,8,97,50,14,51,46,35
1,46,12,90,19,88,97,92,5,8,92,61,24,24,30,21,84,52,15,97,74,24,62,1,34,45,68,2,63,5,25,50,17,37,66,78,45,44
72,46,64,24,39,53,70,27,26,88,84,57,38,2,22,99,38,42,97,84,23,99,18,87,44,71,69,4,86,29,11,61,45,84,78,70,26,29
57,35,23,84,61,29,8,54,17,34,96,32,18,38,84,47,71,54,93,63,25,54,45,25,29,85,41,7,6,49,59,80,63,57,47,0,83,99
7,35,40,92,67,22,29,1,42,81,87,39,60,36,76,43,52,86,39,7,83,63,37,0,75,3,5,41,24,17,12,0,52,66,41,54,75,37
91,28,52,65,42,62,77,60,28,49,16,21,33,8,60,16,78,89,1,89,97,92,39,9,0,19,80,37,24,8,95,73,78,81,71,30,86,13
81,93,27,76,42,70,14,43,24,45,98,12,89,32,6,18,18,35,4,57,82,42,43,36,30,55,67,3,8,95,5,49,76,57,9,23,92,61
49,73,96,70,71,55,10,91,69,27,92,99,75,80,33,38,52,51,0,58,57,80,63,25,50,23,87,51,19,68,31,73,69,0,1,38,26,94
19,1,55,49,19,24,35,54,46,91,19,80,29,80,37,77,53,98,31,3,8,97,76,11,52,10,88,29,46,6,88,26,32,10,70,81,83,63
46,67,55,57,2,19,32,96,23,91,60,84,10,16,54,48,31,95,94,50,80,28,54,8,12,2,8,89,69,73,47,48,40,94,44,51,23,9
43,27,16,73,12,50,77,27,83,89,89,42,12,73,18,19,26,58,26,88,85,3,97,4,75,14,5,61,51,24,70,94,30,5,14,32,1,43
22,4,21,46,36,80,49,67,42,8,32,9,5,6,45,1,52,94,15,60,95,71,5,18,93,25,62,36,16,10,15,64,65,56,24,19,87,80
35,30,46,12,43,34,93,38,86,71,59,26,83,38,42,70,15,52,79,89,56,12,45,31,38,83,81,69,0,4,80,5,98,4,66,10,76,5
57,45,8,45,50,97,25,81,45,4,35,8,88,29,32,60,30,9,42,94,49,66,98,61,98,75,1,4,84,8,0,11,68,66,13,23,81,1
73,62,28,29,3,2,96,87,33,52,99,18,94,94,30,13,22,40,90,55,89,78,97,35,21,4,97,76,66,3,31,4,52,53,53,32,20,39
59,80,56,10,8,97,47,35,17,15,87,75,14,0,66,52,25,83,7,0,23,37,31,92,25,13,67,58,44,39,73,89,69,86,95,92,97,96
49,68,57,1,47,87,6,4,60,4,68,54,54,3,77,68,26,66,20,63,96,16,56,53,59,4,81,27,99,50,30,33,53,20,41,84,96,11
14,31,79,93,23,55,6,21,19,7,86,37,12,46,8,75,49,54,6,1,73,12,84,23,13,29,88,1,66,28,17,45,98,68,54,4,26,54
67,60,58,35,36,93,92,73,14,41,96,76,24,87,91,97,67,75,62,30,20,95,40,4,7,86,42,51,57,8,42,14,21,71,35,23,33,84
78,56,89,58,3,79,72,30,16,16,43,83,51,70,91,39,83,29,33,87,73,23,42,78,86,61,18,20,43,18,19,3,6,74,8,3,53,84
95,65,86,30,54,83,28,21,64,54,93,25,54,94,20,13,57,63,53,72,46,37,62,57,75,70,41,62,66,42,96,45,87,79,64,33,59,59
46,87,87,49,33,54,4,73,25,71,59,21,37,42,5,98,21,91,42,98,2,27,32,44,71,2,41,70,57,13,53,6,32,28,3,26,95,20
70,23,17,72,4,30,59,31,79,52,17,78,49,85,66,2,62,19,9,99,50,32,59,53,61,37,85,1,31,28,0,95,71,74,39,55,3,44
